country,tot_cases,new_cases,tot_deaths,new_deaths,tot_recov,new_recov,tests,pop,2019_gdp,tot_cases_1m,tot_deaths_1m,tot_recov_1m,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations
Norway,134230,0,796,0,88952,0,6297861,5465376,75826,26846,159,17790,317077800.0,210992383.0,106085417.0,4856669.0,4718370.0
Oman,289042,0,3498,0,263752,0,1550000,5241260,15343,57808,699,52750,12006206.0,10073689.0,2268384.0,65081.0,1611990.0
Pakistan,989275,2607,22781,21,919163,834,15393974,225345563,1284,4396,101,4085,409352598.0,94232509.0,72538622.0,6731695.0,21200523.0
Panama,421957,0,6697,0,401758,0,3211371,4385353,15727,105489,1674,100439,98630129.0,57393898.0,31810465.0,1484600.0,1761379.0
Papua New Guinea,17340,0,179,0,16975,0,136187,9123010,2829,1926,19,1886,216136.0,215426.0,710.0,0.0,46558.0
Paraguay,444427,0,14230,0,402305,0,1623814,7223663,5380,63489,2032,57472,35365668.0,28746451.0,6619217.0,826233.0,816888.0
Peru,2092125,0,195047,0,0,0,14967701,33449380,7027,63397,5910,0,471910678.0,299460131.0,172450547.0,10096171.0,9758461.0
Philippines,1507755,5411,26714,117,1433851,5439,15912123,111097672,3485,13583,240,12917,415706579.0,285259472.0,91672800.0,7034359.0,13577243.0
Poland,2881424,69,75215,3,2652984,33,18114809,37803379,15694,77876,2032,71702,1956121422.0,1259601526.0,742836326.0,22881533.0,32176410.0
Portugal,927424,0,17199,0,860449,0,14366687,10165690,23284,92742,1719,86044,584013187.0,391387229.0,200550644.0,9373064.0,10587880.0
Qatar,224160,0,599,0,222011,0,2259089,2807805,62087,112080,299,111005,252043824.0,119477403.0,90860361.0,2868764.0,3473758.0
Romania,1081632,44,34253,1,1046739,20,10215744,19103716,12889,56928,1802,55091,0.0,0.0,0.0,0.0,0.0
Russian Federation,5958133,25018,148419,764,5341231,18886,159100000,145999709,11497,41090,1023,36836,824835828.0,476890653.0,360782785.0,9142831.0,9174376.0
Rwanda,54549,0,638,0,38186,0,1813654,13285109,820,4196,49,2937,10057596.0,9420140.0,1035512.0,275512.0,656452.0
Republic of Korea,177951,1451,2057,2,158953,993,11175981,51315187,31846,3489,40,3116,120409410.0,117376538.0,22345097.0,3361916.0,4507992.0
Saint Kitts and Nevis,550,0,3,0,483,0,23771,53591,19773,0,0,0,606383.0,411338.0,195045.0,5740.0,43149.0
Saint Lucia,5470,0,87,0,5256,0,57288,184501,11611,0,0,0,2566655.0,1254712.0,844384.0,8391.0,54780.0
Samoa,3,0,0,0,3,0,0,199787,4324,0,0,0,341577.0,326011.0,15566.0,0.0,53478.0
San Marino,5094,0,90,0,5002,0,69114,34005,47731,0,0,0,1780262.0,978277.0,761167.0,19719.0,45357.0
Sao Tome and Principe,2410,0,37,0,2336,0,14270,223385,1987,0,0,0,254655.0,101743.0,42104.0,0.0,37821.0
Saudi Arabia,508521,0,8063,0,489553,0,23644943,35377332,23139,14529,230,13987,1493558585.0,378442132.0,49981450.0,21513560.0,21377229.0
Senegal,52096,1722,1220,6,43311,184,608814,17201226,1430,3064,71,2547,24576386.0,22555544.0,1388194.0,348554.0,805689.0
Serbia,718465,0,7080,0,709307,0,4548523,8700646,7411,89808,885,88663,260920154.0,153425397.0,107494757.0,2293165.0,5395505.0
Seychelles,17234,0,81,0,16322,0,21504,98981,16198,0,0,0,4817047.0,3048844.0,1768203.0,41548.0,140574.0
Sierra Leone,6166,0,115,0,4115,0,159629,8145368,527,770,14,514,1161626.0,896522.0,96498.0,7981.0,202670.0
Singapore,63073,92,36,0,62512,0,14751144,5898245,65640,12614,7,12502,111313023.0,68832210.0,42688712.0,575307.0,6522042.0
Slovakia,392100,29,12524,0,379193,21,3057456,5462399,19273,78420,2504,75838,291900712.0,186530834.0,105369878.0,4030530.0,3999304.0
